Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"TAK MNIE POCIĄGA","SADO","TAK MNIE POCIĄGA","Accordion's Joy","Playlist","PLR862400475","06qRj0O0ZqiC01MXlZkEOc"
"Twoja miłość to skarb","Quest","Twoja miłość to skarb","Accordion's Joy","Playlist","FR96X2549978","7uuM7QHu1EqjzpOt1Q0zFO"
"Odpalam Tindera - Extendend Mix","Midix","Odpalam Tindera (Extendend Mix)","Accordion's Joy","Playlist","PLN302300052","4ivHADmFZDxiJKWyManNUP"
"Puk Puk Puk","Iness","Puk Puk Puk","Accordion's Joy","Playlist","PLO382103591","1fv17iRu86NSbM74ngOtvQ"
"Wodospad - Radio Edit","Diadem","Wodospad (Radio Edit)","Accordion's Joy","Playlist","PL1D72400088","2AtfV12DOLKTT0yxZW3dcI"
"Usta czerwone","Calibra","Usta czerwone","Accordion's Joy","Playlist","DGA062296258","1nBdyaDNcq3HA3L77UGos2"
"Gdzie Ty Tam Ja","Sebmaster","Gdzie Ty Tam Ja","Accordion's Joy","Playlist","TCAHG2316180","7ydE0EvXNtqiWM1EH5Bp1m"
"Magnes","Midix","Magnes","Accordion's Joy","Playlist","PLN302400008","4XFGHIXKeRDLc9K3VhobIl"
"Za każdy uśmiech Twój - Radio Edit","Dziku","Za każdy uśmiech Twój (Radio Edit)","Accordion's Joy","Playlist","PLI362466680","13dKN9KeTKde1TGIZZaGd3"
"Przeznaczenie","Iness","Przeznaczenie","Accordion's Joy","Playlist","PLO382003285","4xN6lBsggGjvSLonzBAXsl"
"Też tego chcesz - Radio Edit","Raider","Też tego chcesz (Radio Edit)","Accordion's Joy","Playlist","PLI364368510","317DL4qRSQhYjiA39DGZx7"
"Ta Jedyna Wyśniona","Slavers","Ta Jedyna Wyśniona","Accordion's Joy","Playlist","TCACG1562452","5bSDCkn4O3UlsA4A7PlQfp"
"Gdzie mam cię szukać","Midix","Gdzie mam cię szukać","Accordion's Joy","Playlist","PLN302400046","1sjjdk8hLeDqlKpOeMT6Ba"
"W Moim Sercu","Toporki","W Moim Sercu","Accordion's Joy","Playlist","TCACN1688566","5DenBxZIeLFq9RAYvpyYes"
"Wysokie Szpilki - Radio Edit","Bartii","Wysokie Szpilki (Radio Edit)","Accordion's Joy","Playlist","PL1D72400076","4CP2MrIFK1vIu30swbB9EM"
"Pozytywnie","Iness","Pozytywnie","Accordion's Joy","Playlist","PLO381502839","6UF4Daoq5i6aXoKOQhE8h3"
"Tylko ona ma - Radio Edit","DiDżej Mietek","Tylko ona ma (Radio Edit)","Accordion's Joy","Playlist","FR96X2156428","3wKLw97JT0jsCW85RJFigl"
"Kolejna Drama","Midix","Kolejna Drama","Accordion's Joy","Playlist","PLN302400038","7ebmojvycbu3OEWDoLVAgu"
"Gdzie jesteś - Radio Edit","Raider","Gdzie jesteś (Radio Edit)","Accordion's Joy","Playlist","PLI366664300","4EgVY1dGhMvFHDRmKi5keS"
"Właśnie Ty","Blue Angels","Właśnie Ty","Accordion's Joy","Playlist","PLI366625100","3io7GuUpIEx7TZ2tc1RvHd"
"Dziewczyno","Bartii","Dziewczyno","Accordion's Joy","Playlist","PL1D72400151","5rkN9sm2tBYEdu5tXflwnW"
"Na Chwilę","Iness","Na Chwilę","Accordion's Joy","Playlist","PLO382500050","59CsI9qSHxNSVc6thXIDli"
"Ej mała blondi","Midix","Ej mała blondi","Accordion's Joy","Playlist","PLN302400023","1cnC5fBADiIUbDw4cSCwSu"
"PIWKO 0%","Kaszubska Influencerka","PIWKO 0%","Accordion's Joy","Playlist","PLC062428540","2DrtEWe3qN26wiKapAL4qI"
"CZY JESZCZE KIEDYŚ CIĘ SPOTKAM","Kriso","CZY JESZCZE KIEDYŚ CIĘ SPOTKAM","Accordion's Joy","Playlist","PLR862300771","1dqgZ8QcgFQUdaioNAJ2hi"
"Błękitne oczy","Maczo","Błękitne oczy","Accordion's Joy","Playlist","PLI361792710","3O1cpdwtF2h2CobK8UuvBk"
"Całą Noc","Diadem","Całą Noc","Accordion's Joy","Playlist","PL1D72400157","4kHA0ws01PSVJCPlNrNShy"
"Spełniaj Moje Sny","Iness","Spełniaj Moje Sny","Accordion's Joy","Playlist","PLO381502843","5SVbcV1Xnsv3Dg1z1VoXII"
"Tanie Gierki - Radio Edit","Blondi","Tanie Gierki (Radio Edit)","Accordion's Joy","Playlist","PLI367811120","1rp0SnHsPqhqQpFANILfSO"
"Obietnice","Greso","Obietnice","Accordion's Joy","Playlist","PLC692300082","3qzz1OFkFlpyCU5PxLToBd"
"Jestem dla Ciebie","Motif","Jestem dla Ciebie","Accordion's Joy","Playlist","PLC691900156","6L9b7IEPpKYQoVOpvcOLIL"
"Monika","Menelaos","Monika","Accordion's Joy","Playlist","GB-SMU-27-33777","3ycyvskkDi9M8PlEzsbmVc"
"Blask","Kwestia 07","Blask","Accordion's Joy","Playlist","PL44J2515321","5lnRghtfPuLYrKOjymzf8j"
"Ona Wciąż Mnie Zachęca","Midix","Ona Wciąż Mnie Zachęca","Accordion's Joy","Playlist","PLN302300008","4AfjU8K8sbbOJbPyyYpGa3"
"Maleńka - Radio Edit","Justyna Lubas","Maleńka (Radio Edit)","Accordion's Joy","Playlist","PLI364971290","4grES0ZbzWtIItoFSaqhZd"
"Gorące Serce - Mathew Oldschool 90s Remix","Defis","Gorące Serce (Mathew Oldschool 90s Remix)","Accordion's Joy","Playlist","FRX281933956","4A7jCCTvLq37fd6JVrXonK"
"Level wyżej","Quest","Level wyżej","Accordion's Joy","Playlist","FR96X2422575","2mVU8ZVIGacXSwkEYJAvvq"
"Nieistotne","Kwestia 07","Nieistotne","Accordion's Joy","Playlist","PL44J2521379","5aIXA0PM0sS65U3dSZZaO7"
"Sigma","Iness","Sigma","Accordion's Joy","Playlist","PLO382500015","76wtOgMLBjjFTWs4vq79wd"
"Dziewczyna z Tik Tok-A","Midix","Dziewczyna z Tik Tok-A","Accordion's Joy","Playlist","PLN302300025","2jx752g3sxHHbQTPJeRu1g"
"Tańczmy do rana - Radio Edit","Justyna Lubas","Tańczmy do rana (Radio Edit)","Accordion's Joy","Playlist","PLI367950780","622JwbZloIHZ8bxDSwHNkV"
"Na Księżyc - Official Remix","SOUND BASS","Na Księżyc (Official Remix)","Accordion's Joy","Playlist","PLI360182660","6GZugTHddaMaQMffqFUjJd"
"A Wieczorem - Radio Edit","Raider","A Wieczorem (Radio Edit)","Accordion's Joy","Playlist","PLI368718730","3TH2xluMfO9fFqeXwaVHYi"
"Zakochałaś się","Kwestia 07","Największe hity","Accordion's Joy","Playlist","PL06V2434197","2e2UpVWTy9flcpTG9QNsFG"
"Czarna Dama","Iness","Czarna Dama","Accordion's Joy","Playlist","PLO382400073","6BO72Q7LTNZRrS02tPbTO6"
"Inna","Quest","Inna","Accordion's Joy","Playlist","TCADX1848161","2IBXDpDrd0hdT4rAYdYEt9"
"BUTELECZKA","Dr. SWAG","BUTELECZKA","Accordion's Joy","Playlist","PLC062531131","3LXmYikF7OpgI65pstjD6Y"
"Nie Broń Się","Marcin Kłosowski","Nie Broń Się","Accordion's Joy","Playlist","PLI364893140","61yKrfVSH5nxeiIP0uZYgg"
"Jak to jest","Kwestia 07","Jak to jest","Accordion's Joy","Playlist","PL6A22325189","2GP5CN6x1E9Pfh6ocWxFkk"
"Będę Przy Tobie","Raider","Będę Przy Tobie","Accordion's Joy","Playlist","PL1D72400155","6Mx3KtsSxlMnbJLkTEfTfx"
"Oczy Niebieskie","Iness","Oczy Niebieskie","Accordion's Joy","Playlist","PLO382400028","1H9GK4oEU5eToVFeIhytdK"
"Jeden gest - Radio Edit","Defis","Jeden gest (Radio Edit)","Accordion's Joy","Playlist","FRX762167084","3ZOaTSMHTZCN39cElKnv1k"
"PÓŹNA NOC","Dr. SWAG","PÓŹNA NOC","Accordion's Joy","Playlist","PLC062444868","4DSTpuQbJXCEdKg9ULHIC8"
"Uśmiech Czarujący","Joker & Sequence","Uśmiech Czarujący","Accordion's Joy","Playlist","PLO382400011","3jp6PweWOJGEzXV96DXxPp"
"Płomień Przeznaczenia","Kwestia 07","Płomień Przeznaczenia","Accordion's Joy","Playlist","PL6A22428551","0ShPmUs8iuZhTTCv51wLlh"
"Lśnisz - Radio Edit","Loverboy","Lśnisz","Accordion's Joy","Playlist","PLH792400001","5FLlrq3KB13YZbyGVSgNkH"
"Dożynki","Iness","Dożynki","Accordion's Joy","Playlist","PLO382300145","2vhcNPGxBLSbC5k3SruQ77"
"Balet (Mezer Version)","Mario Bischin","Balet (Mezer Version)","Accordion's Joy","Playlist","ROBIM2400003","64l68Qw2P5yb09lwqAYV41"
"Numery","Dr. SWAG","Numery","Accordion's Joy","Playlist","PLC062438183","7MnuyLW0iKMkFjpObAWhRb"
"Lek na życie - Radio Edit","Defis","Lek na życie (Radio Edit)","Accordion's Joy","Playlist","FRX762167592","2EuC7F1AaycPufEETswIHF"
"NIE OCENIAJ","Paweł Motyl","NIE OCENIAJ","Accordion's Joy","Playlist","QZK6Q2512914","4B6hjGTUdtEKc9TsiPrnP0"
"Nocny Trip - Radio Mix","Loverboy","Nocny Trip","Accordion's Joy","Playlist","PLH792400014","3FNtosVkf6JBaqO30TVyTR"
"Mój Rycerz","Iness","Mój Rycerz","Accordion's Joy","Playlist","PLO382200165","1jwxhabakjyV7V4Xd03hfE"
"Bajerantka","Joker & Sequence","Bajerantka","Accordion's Joy","Playlist","PLO382500016","4oflQkEQMxGbuxMHfKNFXH"
"Ti amo (Drań)","Nokaut","Ti amo (Drań)","Accordion's Joy","Playlist","DGA0M2475527","55xAPPvPkJSQxCK7Ab4ca4"
"Za każdą chwilę z tobą 2k24 - Radio Edit","BRYLANT","Za każdą chwilę z tobą 2k24 (Radio Edit)","Accordion's Joy","Playlist","PL4E22400001","7tuAVuqBowUEUyxBVNKE83"
"Róże","Defis","Róże","Accordion's Joy","Playlist","TCADQ1834041","15pJUmBQk9IsVT80C51nHD"
"Lubię Wkurzać Cię - Radio Edit","Loverboy","Lubię Wkurzać Cię (Radio Edit)","Accordion's Joy","Playlist","PLH792500001","71tZnmyzCC4U9xrT2UFXF0"
"Kozak","Iness","Kozak","Accordion's Joy","Playlist","PLO382103598","0QiXJPldGoFpgtLfxIs2jC"
"Skradziony z Gwiazd","Joker & Sequence","Skradziony z Gwiazd","Accordion's Joy","Playlist","PLO382400075","2MWRiZLyQJHPna2iD4Lmwt"
"Powiedz mi","Nokaut","Powiedz mi","Accordion's Joy","Playlist","TCADW1809577","2hNlWdvjgFqmrmaCA7FGsw"
"Samoloty","Kwestia 07","Największe hity","Accordion's Joy","Playlist","PLH492260904","40mlFvZWzC1L17SuBRDtQg"
"Noc w batumi","Masters","Noc w batumi","Accordion's Joy","Playlist","PLH752500024","5kGuSBwVXewWPVhmYEvQl5"
"Toksyna - SOUND BASS Remix","SOUND BASS","Toksyna (SOUND BASS Remix)","Accordion's Joy","Playlist","PLI368362030","6fkiQTAxuWydZAkTHIxQo6"
"Lato Gorące","Iness","Lato Gorące","Accordion's Joy","Playlist","PLO382200060","0QK9eAN1jEdRPCYwLka9dZ"
"Ten Jeden Pocałunek","Joker & Sequence","Ten Jeden Pocałunek","Accordion's Joy","Playlist","PLO382400061","41Rz6HitNgyPGPgIGPfcuf"
"Jak dynamit - Radio Edit","Nokaut","Jak dynamit (Radio Edit)","Accordion's Joy","Playlist","FRX282055359","70llB0tDZHHgdwXyXb5uem"
"Ona Taka Piękna","Szalony Drużba","Ona Taka Piękna","Accordion's Joy","Playlist","FR10S2547312","5TpBzlULAWdqHgBh3SkU58"
"A Ty daj","Blue Angels","A Ty daj","Accordion's Joy","Playlist","PLI360699290","250S6q5B3mjW6gXPu8s1dw"
"Gdzie mam cię szukać","Midix","Gdzie mam cię szukać","Accordion's Joy","Playlist","PLN302400046","1sjjdk8hLeDqlKpOeMT6Ba"
"Gorący Bit","Iness","Gorący Bit","Accordion's Joy","Playlist","PLO382300125","321VVfb9nsVu9xARtXySHL"
"TO MIŁOŚĆ JEST","Dr. SWAG","TO MIŁOŚĆ JEST","Accordion's Joy","Playlist","PLC062523369","2hV4o4wT3qXBvzIniyfay6"
"My Eastern Heart","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376007","1LGxLrnmwqnsKTtaKk6ior"
"Sunscreen","David Orlowsky","Petrichor","Accordion's Joy","Playlist","GBPFW2400286","0iHBNjUlzww02J7HY7Tyjg"
"Street People","Carl Petter Opsahl","NOW!","Accordion's Joy","Playlist","NOMK52510020","3BnHrZGVorj7zOyPntFZGe"
"Charlie","Stéphane Tsapis","Charlie and Edna","Accordion's Joy","Playlist","JPJ901318800","3lbnRX7jiRWksJr1AUU7IT"
"Camino","Ballaké Sissoko","Sou Kora (Ballaké Sissoko, Vincent Segal, Emile Parisien & Vincent Peirani)","Accordion's Joy","Playlist","FR2W62500002","2h7K0LBQKpytOWcSqidNPH"
"Abandon","Flygmaskin","Ianchelevici","Accordion's Joy","Playlist","BEZ252437904","1dpAIE4f6MSCeASxtvmacC"
"Pearl","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376003","7mghT8mtWuXcimUOve2SdH"
"Gasoline","David Orlowsky","Petrichor","Accordion's Joy","Playlist","GBPFW2400293","2sgBZI4k3lvL9LI2gXmnmu"
"Nuvole Bianche","The Chai Connection","The Chai Connection","Accordion's Joy","Playlist","BEHP92200003","4J6V0Kcu4pneWCkxjrmcFW"
"I Tselesta Tou Fu","Manos Achalinotopoulos","Zopirin","Accordion's Joy","Playlist","FR10S1472696","5I5whqvNJ7qX4VMrBZFl4k"
"Electro Tando","Aleph","ALEPH TRIO - D'UN JOUR A L'AUTRE","Accordion's Joy","Playlist","DGA0L2453671","53cHDPXCB1UfDxZTuQb6kW"
"Big Blossom","Richard Koch","Rays of Light","Accordion's Joy","Playlist","DEEH62500053","5BvUIHcf4S3FcnccCYfxg9"
"Play Odd","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376002","53BCBevS569829gigBDck1"
"Petite Valse","Fanou Torracinta","La Belle Vie","Accordion's Joy","Playlist","FR9W12436285","7AD0kBShEq52myibiGklX0"
"Patchouli","David Orlowsky","Petrichor","Accordion's Joy","Playlist","GBPFW2400290","3D6Nn9bc5L68znPrAmxp7d"
"Gypsy Ballet","Moreno Viglione","Gypsy Stories","Accordion's Joy","Playlist","ITM162315416","2LiI0rzljg5vfcMuTomTvM"
"Laros","Yiorgos Bereris","Laros","Accordion's Joy","Playlist","GBRKQ2366532","7FhhHQVQ8hw0FVN6Bb2CbI"
"To My Father","Mohamed Najem","Jaffa Blossom","Accordion's Joy","Playlist","FR9W12306342","0A3HRHHCOurcCxwmDOsF2N"
"Fly By…","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376001","4XBw1WcNX6YTGCTcsIVcm5"
"Haj Bawu Blues","Didier Malherbe","Hadouk (Le Concile des Oiseaux)","Accordion's Joy","Playlist","FR9W12417192","1kYORMtZU135Hm7wRDBKeQ"
"Threni for Gaza","Carl Petter Opsahl","Peace, Love and Justice","Accordion's Joy","Playlist","NOMK52401010","6ccuLxPo93sodWXPx48ny0"
"Words to the Wind","Moreno Viglione","Gypsy Stories","Accordion's Joy","Playlist","ITM162315427","3y7qnWlU4QpkDssaawV5eX"
"Eve","Flygmaskin","Ianchelevici","Accordion's Joy","Playlist","BEZ252437901","2j3doq6Te4vV8FScN5epZc"
"Departing / Credits","Christiaan Verbeek","Three Days of Fish | Drie Dagen Vis (Original Motion Picture Soundtrack)","Accordion's Joy","Playlist","NLM572500060","2HAxsJtZGZqn6qd0eLxP3J"
"Caravan","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376005","5j30bT5cssfEUXGz9w4Q58"
"Lyset","Cort Lunde","Postkort fra Skagen","Accordion's Joy","Playlist","DKSM92500201","19MDCBwMUtfz4y0OOpBUcr"
"Vals med Maria (Waltz With St. Mary)","Carl Petter Opsahl","Kyrkja","Accordion's Joy","Playlist","NOMK52201060","7aziCbvpgBvPPA33mhwoWn"
"Midnight Sun","Julien Tassin","Midnight Sun","Accordion's Joy","Playlist","BEZ252437204","2fOqSqMaVyrulFWFeJ1PLv"
"indifference","Reverie Road","Reverie Road","Accordion's Joy","Playlist","QZES52463443","3nqZy0T17b4yND4jjGngdU"
"Te diré tangos","Kiko Berenguer","Te diré tangos","Accordion's Joy","Playlist","QZNW72407811","2JAeRMrRAV5lxJ76DB7Gcx"
"Entertain You","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376009","3KUyY0k8d4a11RCBDKj8mU"
"Bitter Sweet","Vołosi","200 Weeks Ago","Accordion's Joy","Playlist","PL31W2300004","73AXYRU0HPvvgzdC5d0Cxf"
"Bondade De Deus (Instrumental)","Estevão Ewald","Bondade De Deus (Instrumental)","Accordion's Joy","Playlist","QZGLM2506431","0ynU8n3UZUOmxZvBs0c8Sl"
"Terkishe Melodye","Frejlechs","Frejlechs: Cafe Klez","Accordion's Joy","Playlist","GBCKG0501882","75fI5H58k0gwHDjWaWKObK"
"Amir","Ballaké Sissoko","Sou Kora (Ballaké Sissoko, Vincent Segal, Emile Parisien & Vincent Peirani)","Accordion's Joy","Playlist","FR2W62500003","2LdP9wMv6CRaC2evgInpPA"
"KISS IN PARIS","Kiko Berenguer","AIRE","Accordion's Joy","Playlist","ES71G1307693","0Nfopa9IL0SXQ0sBE9z6E9"
"Simple, Simple...Life","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376011","68FbjCOsmWFqHptv9EODkG"
"心のスープ","Nobuyuki Nakajima","ドラマ10『しあわせは食べて寝て待て』 (Original TV Soundtrack)","Accordion's Joy","Playlist","JPJ822500032","5SXbvOn5FRLlUSl6BnJm92"
"Sweet Souvenir","Moreno Viglione","Gypsy Stories","Accordion's Joy","Playlist","ITM162315414","4Glujxl2IdbREf94Op50pw"
"Blaue Stunde","Klezmeyers","Zirkusleute","Accordion's Joy","Playlist","DELW40901014","5xWJdOv9IfYgpXGzjOlGN4"
"Mudita","Tiyul","Shibolim","Accordion's Joy","Playlist","GBMJG2314436","3RBzXDpt3eApmjAhHBYpOh"
"DANCING WITH THE MOON","Kiko Berenguer","AIRE","Accordion's Joy","Playlist","ES71G1307690","7uAKZkBSM1yuAWay1SANaC"
"Pannonian Blues","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376008","1aOlb6qLfB2mIChsPnuKh4"
"Milonga campera","Las Hermanas Caronni","Bagüala de la siesta","Accordion's Joy","Playlist","FR9W11617370","6Kceq43WGSMZSJOT7UjR6c"
"Days Gone By","Moreno Viglione","Gypsy Stories","Accordion's Joy","Playlist","ITM162315422","4Zd7NBwJlHF4xowowbgOHq"
"Frank","Richard Koch","Rays of Light","Accordion's Joy","Playlist","DEEH62500057","3inEBD87ZoFZDydNq5GUm0"
"Golden Steps","Tri Nguyen","Winds of Home","Accordion's Joy","Playlist","FR9W12001484","0vrzoYa8FdfDEz5Epzagtp"
"Danzon","Angélique Ionatos","Alas Pa' Volar (Angélique Ionatos Canta Frida Kahlo)","Accordion's Joy","Playlist","FR47Q0300070","3VX4KsZGWL9czgIpUa8JYX"
"Kazan","Boris Kovac & La Campanella","Eastern Moon Rising","Accordion's Joy","Playlist","GBDTM1376010","2KkJXtkJVw2mDZAMpkP0FQ"
"Ici et maintenant","Sophie Alour","Le temps virtuose","Accordion's Joy","Playlist","FR6LF2315209","6kgC9znBhKgIrXdbPZJqDu"
